Image Address,Target Index,Target Right Ascension,Target Declination,Survey,Band,Number of Central Blobs,Main Blob Center,Main Blob Radius,Main Blob Displacement,Percent Outside Diffraction,Threshold Value,Percent of Image White,Validation,Error
FITS/RandSample-2000/index-6/WISE+(AllWISE)--w3,6,48.605807,47.23304,WISE,w3,0,NULL,NULL,NULL,NULL,0.431640625,0.18962962962962962,0,Image lacks central blob
FITS/RandSample-2000/index-6/WISE+(AllWISE)--w2,6,48.605807,47.23304,WISE,w2,1,"(22, 22)",8,1.4142135623730951,0.0,0.345703125,0.11703703703703704,,NULL
FITS/RandSample-2000/index-6/DSS--DSS1+Blue,6,48.605807,47.23304,DSS,DSS1+Blue,2,"(30, 30)",5,0.0,0.0,0.384765625,0.10367231638418078,,NULL
FITS/RandSample-2000/index-6/DSS--DSS1+Red,6,48.605807,47.23304,DSS,DSS1+Red,2,"(16, 17)",5,2.23606797749979,0.0,0.431640625,0.13795918367346938,,NULL
FITS/RandSample-2000/index-6/DSS--DSS2+Blue,6,48.605807,47.23304,DSS,DSS2+Blue,2,"(30, 29)",5,1.0,0.0,0.373046875,0.09968399885090491,,NULL
FITS/RandSample-2000/index-6/2MASS--K,6,48.605807,47.23304,2MASS,K,1,"(29, 29)",4,2.8284271247461903,0.0,0.330078125,0.015049717817790917,,NULL
FITS/RandSample-2000/index-6/WISE+(AllWISE)--w4,6,48.605807,47.23304,WISE,w4,0,NULL,NULL,NULL,NULL,0.630859375,0.48,0,Image lacks central blob
FITS/RandSample-2000/index-6/DSS--DSS2+Red,6,48.605807,47.23304,DSS,DSS2+Red,2,"(28, 29)",7,2.23606797749979,0.0,0.392578125,0.11174949727089917,,NULL
FITS/RandSample-2000/index-6/DSS--DSS2+IR,6,48.605807,47.23304,DSS,DSS2+IR,2,"(28, 30)",7,2.0,0.0,0.396484375,0.09858757062146893,,NULL
FITS/RandSample-2000/index-6/WISE+(AllWISE)--w1,6,48.605807,47.23304,WISE,w1,1,"(22, 22)",8,1.4142135623730951,0.033707865168539325,0.361328125,0.134320987654321,,NULL
